id_produit,reference_fournisseur,nom_produit,libelle_source,description,categorie,sous_categorie,regle_de_classification,marque,id_producteur,producteur,producteur_libelle_source,id_fournisseur,fournisseur,canal_de_commande,url_photo,origine_pays,origine_region,origine_departement,lieu_fabrication,appellation,niveau_preuve_origine,caractere_local,savoir_faire_francais,poids_net_g,volume_ml,mention_poids_volume_source,degre_alcool,alcool,type_alcool,dlc_ddm,mention_source,prix_achat_ht,prix_achat_texte_source,unite_de_prix,libelle_colonne_prix_source,tva_taux,prix_achat_ttc,prix_au_kg_ht,droits_accises,prix_hors_droits_ht,prix_vente_ht,prix_vente_ttc,marge_eur,taux_marge,prix_min_acceptable,prix_max_conseille,conditionnement,quantite_par_conditionnement,multiple_commande_source,multiple_commande_valeur,minimum_commande,panachage,poids_brut_g,longueur_cm,largeur_cm,hauteur_cm,volume_dm3,fragile,contient_verre,liquide,sensible_chocs,protection_necessaire,protection_type,contraintes_transport,personnalisable,type_personnalisation,cout_personnalisation,delai_personnalisation,fournisseur_personnalisation,niveau_gamme,niveau_noblesse_propose,noblesse_justification,noblesse_statut,saisonnalite,produit_noel,produit_premium,produit_local_emblematique,tags_opportunite,stock_interne,stock_reserve,stock_disponible,stock_fournisseur,delai_fournisseur,quantite_minimum_commande,disponibilite,statut_ligne,doublon_potentiel,conflit_prix,anomalie_source,champs_a_confirmer,source,ligne_source
PROD-0001,À CONFIRMER,Apéro tomate/paprika 100 grs,Apéro tomate/paprika 100 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,100.0,,100 grs,,NON,,2 MOIS,,2.15,2.15,unité,PU HT,0.055,2.2682,,,,,,,,,,À CONFIRMER,,/6,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,1,palier de prix d'achat (2.15 € HT) → 1,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 10
PROD-0002,À CONFIRMER,Pailles feuilletées salées 100 grs,Pailles feuilletées salées 100 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,100.0,,100 grs,,NON,,2 MOIS,,2.45,2.45,unité,PU HT,0.055,2.5848,,,,,,,,,,À CONFIRMER,,/6,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,1,palier de prix d'achat (2.45 € HT) → 1,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 11
PROD-0003,À CONFIRMER,Palets Camembert du Cotentin pavot 100 grs,Palets Camembert du Cotentin pavot 100 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,INDICE_DANS_LE_NOM_DU_PRODUIT_SEULEMENT,NORMANDIE_INDIQUEE_DANS_LE_NOM_A_VERIFIER,À CONFIRMER,100.0,,100 grs,,NON,,2 MOIS,,2.5,2.5,unité,PU HT,0.055,2.6375,,,,,,,,,,À CONFIRMER,,/6,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (2.50 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,36,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 12
PROD-0004,À CONFIRMER,Biscuits assortiment 250 grs,Biscuits assortiment 250 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,250.0,,250 grs,,NON,,3 MOIS,,5.9,5.9,unité,PU HT,0.055,6.2245,,,,,,,,,,À CONFIRMER,,6/,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SIGNATURE,3,palier de prix d'achat (5.90 € HT) → 3,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 13
PROD-0005,À CONFIRMER,Boutons de la Manche 250 grs moins de 12,Boutons de la Manche 250 grs moins de 12,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,INDICE_DANS_LE_NOM_DU_PRODUIT_SEULEMENT,NORMANDIE_INDIQUEE_DANS_LE_NOM_A_VERIFIER,À CONFIRMER,250.0,,250 grs,,NON,,4 MOIS,,3.6,3.6,unité,PU HT,0.055,3.798,,,,,,,,,,À CONFIRMER,,6/,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (3.60 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,36,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 14
PROD-0006,À CONFIRMER,Boutons de la Manche 250 grs/ carton de 12,Boutons de la Manche 250 grs/ carton de 12,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,INDICE_DANS_LE_NOM_DU_PRODUIT_SEULEMENT,NORMANDIE_INDIQUEE_DANS_LE_NOM_A_VERIFIER,À CONFIRMER,250.0,,250 grs,,NON,,4 MOIS,,3.45,3.45,unité,PU HT,0.055,3.6397,,,,,,,,,,À CONFIRMER,,12/,12,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON_DEDUIT_DU_CONDITIONNEMENT,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (3.45 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,35,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 15
PROD-0007,À CONFIRMER,Cookies pépite de chocolat 220 grs,Cookies pépite de chocolat 220 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,220.0,,220 grs,,NON,,3 MOIS,,3.6,3.6,unité,PU HT,0.055,3.798,,,,,,,,,,À CONFIRMER,,6/,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (3.60 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 16
PROD-0008,À CONFIRMER,Coquilles Quinéville 165 grs,Coquilles Quinéville 165 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,165.0,,165 grs,,NON,,4 MOIS,,4.37,4.37,unité,PU HT,0.055,4.6103,,,,,,,,,,À CONFIRMER,,6/,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (4.37 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 17
PROD-0009,À CONFIRMER,Coquilles Quinéville 80 grs mini 50 paquets,Coquilles Quinéville 80 grs mini 50 paquets,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,80.0,,80 grs,,NON,,4 MOIS,,2.45,2.45,unité,PU HT,0.055,2.5848,,,,,,,,,,À CONFIRMER,,50/,50,50 paquets (mention « mini 50 paquets » dans le libellé),À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,1,palier de prix d'achat (2.45 € HT) → 1,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,36,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 18
PROD-0010,À CONFIRMER,Coquilles de Quinéville trio 165 grs,Coquilles de Quinéville trio 165 grs,À CONFIRMER,BISCUITERIE,BISCUIT,règle 14,BISCUITERIE DE QUINEVILLE,FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,FOUR-0001,NORMAND DIRECT TERROIR,Commande directe auprès de Normand Direct Terroir,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,,AUCUNE_INFORMATION_DANS_LES_DOCUMENTS,À CONFIRMER,À CONFIRMER,165.0,,165 grs,,NON,,4 MOIS,,4.37,4.37,unité,PU HT,0.055,4.6103,,,,,,,,,,À CONFIRMER,,6/,6,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,ESSENTIEL,2,palier de prix d'achat (4.37 € HT) → 2,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,À CONFIRMER,À CONFIRMER,NON,À CONFIRMER,FAIBLE_COUT_LOGISTIQUE,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,SUR_COMMANDE (document = tarif et bon de commande 2026),PRODUIT,,,,37,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 19
